source,n_nodes,n_edges,density,avg_degree,degree_gini,degree_entropy,n_components,giant_cc_ratio,avg_shortest_path_gcc,diameter_gcc,avg_clustering,assortativity,modularity,n_communities
2504.14603_graph,116,162,0.024287856071964018,2.793103448275862,0.0,6.335752912695811,9,0.6120689655172413,3.8748490945674043,9,0.3206116201805857,-0.27331670324999746,0.8087408945545597,12
2504.16736_graph,163,192,0.014542149511474665,2.355828220858896,0.0,6.8130073894017436,22,0.6012269938650306,6.139070061014096,12,0.24318353766206527,-0.250411948953673,0.8455773039050972,27
2505.14674_graph,52,81,0.06108597285067873,3.1153846153846154,0.0,5.380335958806536,4,0.6923076923076923,3.2396825396825397,7,0.34745254745254744,-0.24593758874199356,0.6607665126940291,6
2506.09755_graph,40,102,0.13076923076923078,5.1,0.0,5.067417845240779,5,0.5,1.7263157894736842,3,0.5040241702741703,-0.07413065491346228,0.44314678454909134,5
2505.22101_graph,15,23,0.21904761904761905,3.066666666666667,0.0,3.6780434128052506,3,0.6666666666666666,2.066666666666667,4,0.5977777777777777,0.6335627663061287,0.488582157497105,4
2507.04037_graph,138,384,0.04062202475404633,5.565217391304348,0.0,6.593010228282944,2,0.9927536231884058,3.653821382567626,8,0.4070094472648763,-0.15087125701314322,0.598600696241508,9
2505.02387_graph,77,350,0.11961722488038277,9.090909090909092,0.0,5.644340536996468,8,0.7662337662337663,2.5996493278784336,6,0.5804265530901042,-0.16178779621566236,0.3899600763945268,9
2504.07872_graph,88,155,0.04049111807732497,3.522727272727273,0.0,5.960374527680575,7,0.8409090909090909,3.9888930025916327,8,0.434485766758494,-0.25501737135666525,0.6819109206936559,12
2504.14870_graph,47,89,0.08233117483811286,3.7872340425531914,0.0,5.193187818207459,4,0.8085106382978723,3.681365576102418,8,0.49580762027570535,-0.1643649442644557,0.6037079076398116,7
2507.15815_graph,59,79,0.046171829339567504,2.6779661016949152,0.0,5.604308616194893,8,0.4576271186440678,3.3732193732193734,7,0.3606941081517353,-0.07192248480051486,0.7459697410768061,10
